,团体,自主,a,安全利用网络,参与环境保护,尝试创意作品,促进民族团结,感知悠久历史,合理利用时间,积极调节情绪,加强国家认识,敬爱父母.长辈,开阔国际视野,乐于团队合作,了解中国国情,厉行勤俭节约,能够明辨是非,强化法治意识,勤于探究实践,热情帮助他人,热心社会公益,认同中华文化,树立远大理想,学会自我保护,学习先进榜样,学习自我规划,学做合格公民,言行文明有礼,养成勤劳品质,勇于面对挫折,增强国防意识,增强责任意识,正确认识自我,支持自主品牌,做到诚实守信,a.1,北京汇文实验中学（125中学),北京汇文中学,北京景山学校,北京市崇文门中学,北京市第二十二中学,北京市第二十七中学,北京市第二十四中学,北京市第二十五中学,北京市第二十一中学,北京市第二中学分校,北京市第九十六中学,北京市第六十五中学,北京市第十一中学,北京市第十一中学分校,北京市第十一中学实验学校,北京市第五十四中学,北京市第五十五中学,北京市第五十中学,北京市第五十中学分校,北京市第五中学分校,北京市第一零九中学,北京市第一六六中学,北京市第一六五中学,北京市第一七七中学,北京市第一七一中学,北京市第一四二中学,北京市第一一五中学,北京市第一中学,北京市东直门中学,北京市广渠门中学,北京市国子监中学,北京市和平北路学校,北京市龙潭中学,北京市前门外国语学校,北京市文汇中学,中央工艺美术学院附属中学
1,参观,参观,1,网络,垃圾,制作,民族,参观,时间,情绪,观看,父母,参观,节,参观,勤俭节约,明辨是非,宪法,龙潭湖,扶,志愿,文化,六一,火灾,榜样,规划,学做,文明,学农,挫折,国防,环湖,期末,参观,诚实,1,拼图,拼图,参观,垃圾,天安门,绿,参观,学做,12,节,从我做起,雷锋,参观,尊敬师长,参观,十九,风火轮,悠久,投身,参观,四世同堂,参观,班会,参观,参观,滑雪,灯谜,五四,班会,垃圾,参观,北路,垃圾,参观,龙潭湖,参观
2,中,活动,2,利与弊,分类,创意,中华民族,历史,合理,做,升旗,长辈,游学,合作,升旗,从我做起,虐童,升旗,直角坐标,帮助,活动,参观,梦,自救,学习,练,公民,有礼,劳动,中,参观,接力赛,自我,三元,守信,2,地理,环湖,勤俭节约,分类,参观,种,文化,国旗,传承文明,男孩,中华,观后感,做,敬爱,博物馆,拼搏,周,了解,观念,历史,179,了解,主题,志愿,科技节,参观,演习,进校园,学农,分类,寻踪,庆,分类,三元,直角坐标,文化
3,历史,观看,3,安全,环保,立体地图,参观,悠久,假期,调节,参观,敬爱,视野,男孩,升旗仪式,节水,事件,法治,系,老人,公益,传统,庆典,自我,传承,自我,合格,言行,中,面对,意识,责任意识,正确认识,科技,做,3,环湖,立体地图,观看,稚气,升旗,小树,节,合影,热情帮助,升旗,礼仪之邦,节约粮食,故居,习茶,小报,青春,参观,友善,实践,走进,京剧,观看,联欢会,校园,活动,学习,文化节,北锣,开放日,学农,博物馆,科技节,环境保护,节,系,了解
4,文化,做,4,利用网络,环境保护,D,少数民族,感知,班会,习茶,天安门,家风,国际,越野,走进,学农,红黄蓝,法律,探究,摔倒,志愿者,中华文化,远大理想,自护,鲁迅博物馆,学习,做,班会,勤劳,战胜,增强,青春,目标,国货,诚信,4,绘制,地理,做,公民,歌咏,国,升旗,公民,父母,女孩,勤俭节约,做,中,孝敬父母,历史,欢庆,自护,百年,集体,探究,曲剧,博物馆,参观,活动,做,社区,安全,活动,参观,稚气,之旅,绘,升旗,了解,感受,历史
5,感受,了解,5,网络安全,保护环境,绘制,文化,故宫,利用,礼,十九,做,文化,团队,天安门,节约,扶,博物馆,平面,热情帮助,服务,传承,参观,地震,鲁迅,天天,国旗,家风,做,困难,歌咏,爱,中,中国科技馆,感动,5,立体地图,练,学习,参与,纪念馆,净土,历史,合格,意识,活动,行,小窍门,勤俭节约,长辈,做,勇,无敌,文化,培育,活动,实践,学习,爱,垃圾,志愿,观看,猜,社区,爱,参与,历史,奥运冠军,参与,做,博物馆,做
6,走进,学习,6,上网,人人有责,179,了解,文化,计划,品香茗,国,孝敬父母,澳大利亚,活动,了解,节电,辩论赛,法院,数学,同学,社区,京剧,做,学会,班会,计划,合影,做,养成,勇于,九,长跑,学习,支持,勇气,6,中国,绘制,电影,告别,九,一方,博物馆,假期,涂鸦,家风,做,节水,历史,礼,了解,班会,课本剧,中华民族,社会,故宫,观看,做,元旦,从我做起,了解,国粹,备战,志愿,主题,拥抱,学习,端午,保护环境,观看,数学,情绪
7,做,历史,7,正确,参与,科技节,民族团结,感受,付,周,国家,爱,之旅,比赛,天安门广场,节约用水,辨析,天安门广场,绘制,好人好事,公益活动,春节,梦想,保护,先进,期末,稚气,中学生,品质,我错,纪念馆,环湖赛,烟火,自主,人物,7,地图,地图,活动,拥抱,比赛,我错,参加,计划,23,六一,节粮,文化,文化,品香茗,感受,永,活动,屈辱,消防,文化,活动,历史,开放日,捡,观看,活动,竞猜活动,表彰,活动,告别,探究,升旗仪式,合格,春节,平面,从我做起
8,学习,博物馆,8,做,从我做起,创意作品,博物院,博物馆,寒假,心理,电影,尊敬,了解,风火轮,博物馆,厉行,与非,意识,实践,该不该,做,中华,参加,安全,陋习,体质,拥抱,家训,学习,自强不息,军事博物馆,做,自信,投身,中国,8,立体,中国,了解,升旗,升旗仪式,厉害,节电,寒假,导图,参加,自信,节电,感知,父母,感知,陋习,年级,校园,疏散,观看,中学,活动,活动,环保,科技,了解,参观,北罗,班,环境保护,参加,灯谜,公民,英语,参观,中国
9,活动,文化,9,辩论赛,活动,体验,园,了解,莫让,礼品,认识,尊敬师长,开拓,拼图,砥砺,节粮,共享,感受,科技节,孤寡老人,爱心,了解,树立,消防,参观,当家,告别,主题,活动,学习,比赛,我来,班会,品牌,老实事,9,参观,比赛,社区,合格,抗日战争纪念馆,我来,活动,时间,耀,天安门广场,主题,学习,父母,尊敬,走进,爱,心理,欺凌,逼真,博物馆,话剧,参加,文化,雅韵,学习,中医药,浓情,表彰大会,勤俭节约,青春,求真,看齐,拥抱,活动,走进,国家
10,榜样,节,10,弊,社区,打印,习俗,故宫博物院,开放日,快乐,升旗仪式,感恩,活动,定向,奋进,三节,青春,强化,定位,关爱,绿,中国,理想,演习,文与魂,复习,青春,友善,体验,对不起,抗日战争纪念馆,跑,做,实践,需要,10,练,天天,爱国,环境保护,一二,一颗,日,生活,中,男孩儿,制作,天安门,博物馆,排球比赛,中国,牵手,观看,抗争,逃生,了解,学农,国防,学农,讲座,走进,鸟巢,首博,绿色,初一,合格,寻根,喜迎,人人有责,博物馆,法院,北京
